BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460338.009490,1.01998,0.01120,1.2578,1.60,-0.75,11.06,10770
2460338.010244,1.02579,0.01026,1.2548,-0.43,-0.86,9.20,15448
2460338.011009,1.00947,0.01071,1.2517,-0.01,-0.08,12.89,10810
2460338.011763,1.01299,0.01062,1.2488,-1.43,2.34,9.64,12688
2460338.012528,1.00635,0.00996,1.2458,-0.91,-0.17,7.59,18771
2460338.013281,1.01571,0.01041,1.2429,1.43,0.39,9.79,14075
2460338.014046,1.01918,0.01085,1.2401,-0.16,-1.47,12.61,11343
2460338.014811,0.99164,0.01049,1.2372,-2.16,1.71,9.57,13895
2460338.015565,1.01773,0.01086,1.2345,0.51,1.32,11.31,11107
2460338.016330,0.99038,0.01075,1.2317,0.21,-0.79,9.61,13364
2460338.017083,0.98511,0.01048,1.2290,0.67,-1.69,8.96,14705
2460338.017848,0.98994,0.01035,1.2264,-0.94,1.36,9.69,13515
2460338.018602,0.99083,0.01072,1.2238,-1.91,1.07,10.69,12334
2460338.019355,0.98952,0.01090,1.2212,0.28,-0.69,10.27,12590
2460338.020120,1.00345,0.01073,1.2186,0.34,-0.83,10.60,12112
2460338.020874,0.98342,0.01086,1.2161,0.16,0.23,9.90,12775
2460338.021639,0.98814,0.01053,1.2136,-1.94,1.72,9.46,13995
2460338.022392,0.99323,0.01087,1.2112,0.84,0.65,10.96,11434
2460338.023158,0.97999,0.01034,1.2088,-0.14,-0.57,9.39,14348
2460338.023911,0.97188,0.01080,1.2064,0.45,0.04,10.54,11470
2460338.024676,0.97341,0.01017,1.2041,-1.40,1.66,8.63,15834
2460338.025429,0.98024,0.01085,1.2018,-0.53,1.14,10.59,11094
2460338.026195,0.96522,0.01111,1.1995,0.08,-0.75,11.36,10136
2460338.026949,0.98096,0.01126,1.1973,0.00,-0.68,11.71,10247
2460338.027715,0.96016,0.01016,1.1951,0.10,0.88,8.61,16194
2460338.028469,0.96252,0.01055,1.1929,-1.71,1.57,10.10,12621
2460338.029234,0.96765,0.01075,1.1908,0.29,-0.23,9.90,12829
2460338.029989,0.96963,0.01032,1.1887,0.33,-0.43,8.78,14969
2460338.030754,0.96880,0.01063,1.1866,0.15,-0.69,10.05,12521
2460338.031508,0.95705,0.01017,1.1846,-0.62,1.24,9.21,14783
2460338.032274,0.94359,0.01004,1.1826,-1.63,1.47,9.08,15547
2460338.033028,0.96400,0.01007,1.1806,0.49,0.82,8.83,14958
2460338.033794,0.95192,0.00984,1.1787,0.68,-0.51,7.99,18576
2460338.034559,0.93923,0.01004,1.1768,-0.29,-0.94,8.38,17085
2460338.035314,0.94579,0.00981,1.1749,-0.84,1.09,8.05,19044
